model_id,org_id,model_type,params_B,parameter_group
KeyonZeng/lion-gemma-7b-cn,KeyonZeng,Fine-tuned,8.0,7–<15B
KeyonZeng/lion-gemma-7b-cn-v2,KeyonZeng,Fine-tuned,8.0,7–<15B
KeyonZeng/lion-llama3-8b,KeyonZeng,Fine-tuned,8.0,7–<15B
KeyonZeng/lion-zephyr-7b,KeyonZeng,Fine-tuned,7.0,7–<15B
KeyonZeng/philion-2,KeyonZeng,Fine-tuned,2.0,<3B
Kiddyz/testlm-1,Kiddyz,Unknown,,Unknown
Kiddyz/testlm-1-1,Kiddyz,Unknown,,Unknown
Kiddyz/testlm-3,Kiddyz,Unknown,,Unknown
Kiddyz/testlm2,Kiddyz,Unknown,,Unknown
KingNish/CodeMaster-v1-7b,KingNish,Merged,6.0,3–<7B
KingNish/CodeMaster-v1-9b,KingNish,Merged,9.0,7–<15B
KingNish/KingNish-Llama3-8b,KingNish,Chat/post-trained,8.0,7–<15B
KingNish/Llama3-12b,KingNish,Merged,11.0,7–<15B
KingNish/tinyllama,KingNish,Chat/post-trained,1.0,<3B
Knobi3/EvoMerge1,Knobi3,Merged,7.0,7–<15B
KnutJaegersberg/CausalLM-Platypus-14B,KnutJaegersberg,Chat/post-trained,14.0,7–<15B
KnutJaegersberg/Deacon-1_8b,KnutJaegersberg,Chat/post-trained,1.0,<3B
KnutJaegersberg/Deacon-1b,KnutJaegersberg,Chat/post-trained,1.0,<3B
KnutJaegersberg/Deacon-20B,KnutJaegersberg,Chat/post-trained,20.0,15–<40B
KnutJaegersberg/Deacon-34b-Adapter,KnutJaegersberg,Chat/post-trained,34.0,15–<40B
KnutJaegersberg/Deacon-34b-qlora-adapter,KnutJaegersberg,Chat/post-trained,34.0,15–<40B
KnutJaegersberg/Deita-1_8B,KnutJaegersberg,Chat/post-trained,8.0,7–<15B
KnutJaegersberg/Deita-20b,KnutJaegersberg,Fine-tuned,19.0,15–<40B
KnutJaegersberg/Deita-2b,KnutJaegersberg,Chat/post-trained,3.0,3–<7B
KnutJaegersberg/Deita-32b,KnutJaegersberg,Chat/post-trained,32.0,15–<40B
KnutJaegersberg/Deita-34b,KnutJaegersberg,Chat/post-trained,34.0,15–<40B
KnutJaegersberg/Deita-4b,KnutJaegersberg,Chat/post-trained,3.0,3–<7B
KnutJaegersberg/Deita-500m,KnutJaegersberg,Chat/post-trained,,Unknown
KnutJaegersberg/Deita-Qwen-1_8B,KnutJaegersberg,Chat/post-trained,1.0,<3B
KnutJaegersberg/Galpaca-30b-MiniOrca,KnutJaegersberg,Chat/post-trained,29.0,15–<40B
KnutJaegersberg/LLongMA-3b-LIMA,KnutJaegersberg,Chat/post-trained,3.0,3–<7B
KnutJaegersberg/MistralInstructLongish,KnutJaegersberg,Chat/post-trained,7.0,7–<15B
KnutJaegersberg/Nanbeige-16B-Base-32K-llama,KnutJaegersberg,Pretrained,15.0,15–<40B
KnutJaegersberg/Qwen-14B-Llamafied,KnutJaegersberg,Pretrained,14.0,7–<15B
KnutJaegersberg/Qwen-1_8B-Chat-llama,KnutJaegersberg,Chat/post-trained,1.0,<3B
KnutJaegersberg/Qwen-1_8B-Llamafied,KnutJaegersberg,Pretrained,1.0,<3B
KnutJaegersberg/Qwen-1_8b-EverythingLM,KnutJaegersberg,Chat/post-trained,1.0,<3B
KnutJaegersberg/RWKV-4-PilePlus-169M-20230520-done-ctx4096,KnutJaegersberg,Fine-tuned,,Unknown
KnutJaegersberg/RWKV-4-PilePlus-1B5-20230520-2942-486Gtokens-ctx4096,KnutJaegersberg,Fine-tuned,1.0,<3B
KnutJaegersberg/RWKV-4-PilePlus-430M-20230520-6162-1018Gtokens-ctx4098,KnutJaegersberg,Fine-tuned,,Unknown
KnutJaegersberg/RWKV-pileplus-1B5-evol_instruct_v2,KnutJaegersberg,Unknown,,Unknown
KnutJaegersberg/Walter-Falcon-1B,KnutJaegersberg,Chat/post-trained,1.0,<3B
KnutJaegersberg/Walter-Llama-1B,KnutJaegersberg,Chat/post-trained,1.0,<3B
KnutJaegersberg/Walter-Mistral-7B,KnutJaegersberg,Chat/post-trained,7.0,7–<15B
KnutJaegersberg/Walter-SOLAR-11B,KnutJaegersberg,Chat/post-trained,10.0,7–<15B
KnutJaegersberg/YaYi-30b-EverythingLM,KnutJaegersberg,Fine-tuned,30.0,15–<40B
KnutJaegersberg/black_goo_recipe_a,KnutJaegersberg,Chat/post-trained,,Unknown
KnutJaegersberg/black_goo_recipe_b,KnutJaegersberg,Chat/post-trained,,Unknown
KnutJaegersberg/black_goo_recipe_c,KnutJaegersberg,Chat/post-trained,,Unknown
KnutJaegersberg/black_goo_recipe_d,KnutJaegersberg,Chat/post-trained,,Unknown
KnutJaegersberg/deacon-13b,KnutJaegersberg,Chat/post-trained,13.0,7–<15B
KnutJaegersberg/deacon-3b,KnutJaegersberg,Chat/post-trained,3.0,3–<7B
KnutJaegersberg/falcon-1b-t-sft,KnutJaegersberg,Chat/post-trained,1.0,<3B
KnutJaegersberg/galactica-orca-wizardlm-1.3b,KnutJaegersberg,Unknown,,Unknown
KnutJaegersberg/gpt2-chatbot,KnutJaegersberg,Chat/post-trained,1.0,<3B
KnutJaegersberg/internlm-20b-llama,KnutJaegersberg,Pretrained,20.0,15–<40B
KnutJaegersberg/megatron-GPT-2-345m-EvolInstruct,KnutJaegersberg,Fine-tuned,,Unknown
KnutJaegersberg/megatron-gpt2-345m-evol_instruct_v2,KnutJaegersberg,Chat/post-trained,,Unknown
KnutJaegersberg/openllama_3b_EvolInstruct_lora_merged,KnutJaegersberg,Chat/post-trained,3.0,3–<7B
KnutJaegersberg/platypus-1_8b,KnutJaegersberg,Chat/post-trained,1.0,<3B
KnutJaegersberg/webMistral-7B,KnutJaegersberg,Fine-tuned,7.0,7–<15B
KoboldAI/GPT-J-6B-Adventure,KoboldAI,Fine-tuned,6.0,3–<7B
KoboldAI/GPT-J-6B-Janeway,KoboldAI,Fine-tuned,6.0,3–<7B
KoboldAI/GPT-J-6B-Shinen,KoboldAI,Fine-tuned,6.0,3–<7B
KoboldAI/GPT-J-6B-Skein,KoboldAI,Fine-tuned,6.0,3–<7B
KoboldAI/GPT-NeoX-20B-Erebus,KoboldAI,Fine-tuned,20.0,15–<40B
KoboldAI/GPT-NeoX-20B-Skein,KoboldAI,Fine-tuned,20.0,15–<40B
KoboldAI/LLaMA2-13B-Estopia,KoboldAI,Fine-tuned,13.0,7–<15B
KoboldAI/LLaMA2-13B-Psyfighter2,KoboldAI,Fine-tuned,13.0,7–<15B
KoboldAI/LLaMA2-13B-Tiefighter,KoboldAI,Fine-tuned,13.0,7–<15B
KoboldAI/Mistral-7B-Erebus-v3,KoboldAI,Chat/post-trained,7.0,7–<15B
KoboldAI/Mistral-7B-Holodeck-1,KoboldAI,Fine-tuned,7.0,7–<15B
KoboldAI/Mixtral-8x7B-Holodeck-v1,KoboldAI,Fine-tuned,46.0,≥40B
KoboldAI/OPT-13B-Erebus,KoboldAI,Fine-tuned,13.0,7–<15B
KoboldAI/OPT-13B-Nerybus-Mix,KoboldAI,Fine-tuned,13.0,7–<15B
KoboldAI/OPT-13B-Nerys-v2,KoboldAI,Fine-tuned,13.0,7–<15B
KoboldAI/OPT-2.7B-Erebus,KoboldAI,Fine-tuned,2.0,<3B
KoboldAI/OPT-2.7B-Nerybus-Mix,KoboldAI,Fine-tuned,2.0,<3B
KoboldAI/OPT-2.7B-Nerys-v2,KoboldAI,Fine-tuned,2.0,<3B
KoboldAI/OPT-30B-Erebus,KoboldAI,Fine-tuned,30.0,15–<40B
KoboldAI/OPT-350M-Erebus,KoboldAI,Fine-tuned,,Unknown
KoboldAI/OPT-6.7B-Erebus,KoboldAI,Fine-tuned,6.0,3–<7B
KoboldAI/OPT-6.7B-Nerybus-Mix,KoboldAI,Fine-tuned,6.0,3–<7B
KoboldAI/OPT-6B-nerys-v2,KoboldAI,Fine-tuned,6.0,3–<7B
KoboldAI/PPO_Pygway-6b-Mix,KoboldAI,Fine-tuned,6.0,3–<7B
KoboldAI/fairseq-dense-125M,KoboldAI,Fine-tuned,,Unknown
KoboldAI/fairseq-dense-2.7B,KoboldAI,Fine-tuned,2.0,<3B
KoboldAI/fairseq-dense-355M,KoboldAI,Fine-tuned,,Unknown
KoboldAI/fairseq-dense-6.7B,KoboldAI,Fine-tuned,6.0,3–<7B
Korabbit/Llama-2-7b-chat-hf-afr-100step-flan,Korabbit,Chat/post-trained,7.0,7–<15B
Korabbit/Llama-2-7b-chat-hf-afr-100step-flan-v2,Korabbit,Chat/post-trained,7.0,7–<15B
Korabbit/Llama-2-7b-chat-hf-afr-100step-v2,Korabbit,Chat/post-trained,7.0,7–<15B
Korabbit/Llama-2-7b-chat-hf-afr-200step-flan,Korabbit,Chat/post-trained,7.0,7–<15B
Korabbit/Llama-2-7b-chat-hf-afr-200step-flan-v2,Korabbit,Chat/post-trained,7.0,7–<15B
Korabbit/Llama-2-7b-chat-hf-afr-200step-v2,Korabbit,Chat/post-trained,7.0,7–<15B
Korabbit/Llama-2-7b-chat-hf-afr-300step-flan-v2,Korabbit,Chat/post-trained,7.0,7–<15B
Korabbit/Llama-2-7b-chat-hf-afr-441step-flan-v2,Korabbit,Chat/post-trained,7.0,7–<15B
Kquant03/Azathoth-16x7B-bf16,Kquant03,Merged,91.0,≥40B
Kquant03/BurningBruce-SOLAR-8x10.7B-bf16,Kquant03,Fine-tuned,69.0,≥40B
Kquant03/Buttercup-4x7B-bf16,Kquant03,Fine-tuned,24.0,15–<40B
Kquant03/Buttercup-V2-bf16,Kquant03,Merged,24.0,15–<40B
Kquant03/Buttercup-V2-laser,Kquant03,Fine-tuned,24.0,15–<40B
Kquant03/CognitiveFusion-4x7B-bf16-MoE,Kquant03,Fine-tuned,24.0,15–<40B
Kquant03/CognitiveFusion2-4x7B-BF16,Kquant03,Merged,24.0,15–<40B
Kquant03/Cognito-2x7B-bf16,Kquant03,Merged,12.0,7–<15B
Kquant03/DolphinHermesPro-ModelStock,Kquant03,Merged,7.0,7–<15B
Kquant03/Eukaryote-8x7B-bf16,Kquant03,Fine-tuned,46.0,≥40B
Kquant03/FrankenDPO-4x7B-bf16,Kquant03,Fine-tuned,24.0,15–<40B
Kquant03/Hippolyta-7B-bf16,Kquant03,Fine-tuned,7.0,7–<15B
Kquant03/Kaltsit-16x7B-bf16,Kquant03,Merged,91.0,≥40B
Kquant03/Medusa-7B-bf16,Kquant03,Fine-tuned,7.0,7–<15B
Kquant03/Nanashi-2x7B-bf16,Kquant03,Merged,12.0,7–<15B
Kquant03/NeuralTrix-7B-dpo-laser,Kquant03,Fine-tuned,7.0,7–<15B
Kquant03/NeuralTrix-7B-dpo-relaser,Kquant03,Fine-tuned,7.0,7–<15B
Kquant03/Prokaryote-8x7B-bf16,Kquant03,Fine-tuned,46.0,≥40B
Kquant03/Raiden-16x3.43B,Kquant03,Fine-tuned,35.0,15–<40B
Kquant03/Ryu-4x7B-MoE-bf16,Kquant03,Fine-tuned,24.0,15–<40B
Kquant03/Samlagast-7B-bf16,Kquant03,Merged,7.0,7–<15B
Kquant03/Samlagast-7B-laser-bf16,Kquant03,Fine-tuned,7.0,7–<15B
Kukedlc/Brocae-Area-7B-slerp,Kukedlc,Chat/post-trained,7.0,7–<15B
Kukedlc/Fasciculus-Arcuatus-7B-slerp,Kukedlc,Chat/post-trained,7.0,7–<15B
Kukedlc/FrankeMerge-12.5B,Kukedlc,Fine-tuned,12.0,7–<15B
Kukedlc/Jupiter-k-7B-slerp,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/LLama-3-8b-Maths,Kukedlc,Fine-tuned,8.0,7–<15B
Kukedlc/MyModelsMerge-7b,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/NeoCortex-7B-slerp,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/NeuTrixOmniBe-7B-model-remix,Kukedlc,Merged,7.0,7–<15B
Kukedlc/NeuTrixOmniBe-DPO,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/Neural-4-ARC-7b,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/Neural-4-Maths-7b,Kukedlc,Merged,7.0,7–<15B
Kukedlc/Neural-4-QA-7b,Kukedlc,Merged,7.0,7–<15B
Kukedlc/Neural-Cosmic-Boy-7B-slerp,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/Neural-Krishna-Multiverse-7b,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/Neural-Krishna-Multiverse-7b-v2,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/Neural-Krishna-Multiverse-7b-v3,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/Neural4gsm8k,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/NeuralArjuna-7B-DT,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/NeuralContamination-7B-ties,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/NeuralExperiment-7b-MagicCoder-v7.5,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/NeuralExperiment-7b-dare-ties,Kukedlc,Merged,7.0,7–<15B
Kukedlc/NeuralFusion-7b-Dare-Ties,Kukedlc,Chat/post-trained,7.0,7–<15B
Kukedlc/NeuralGanesha-7b,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/NeuralKrishna-7B-V2-DPO,Kukedlc,Chat/post-trained,7.0,7–<15B
Kukedlc/NeuralKrishna-7B-slerp,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/NeuralKrishna-7B-v3,Kukedlc,Merged,7.0,7–<15B
Kukedlc/NeuralKrishnaMath-7B-slerp,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/NeuralKuke-4-All-7b,Kukedlc,Merged,7.0,7–<15B
Kukedlc/NeuralKukedlc-7B-Labonned,Kukedlc,Merged,7.0,7–<15B
Kukedlc/NeuralLLaMa-3-8b-DT-v0.1,Kukedlc,Merged,8.0,7–<15B
Kukedlc/NeuralLLaMa-3-8b-ORPO-v0.3,Kukedlc,Fine-tuned,8.0,7–<15B
Kukedlc/NeuralMarioMonarch-7B-slerp,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/NeuralMaths-Experiment-7b,Kukedlc,Merged,7.0,7–<15B
Kukedlc/NeuralMaxime-7B-slerp,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/NeuralMergeTest-001,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/NeuralMiLLaMa-8B-slerp,Kukedlc,Merged,8.0,7–<15B
Kukedlc/NeuralSirKrishna-7b,Kukedlc,Merged,7.0,7–<15B
Kukedlc/NeuralStockFusion-7b,Kukedlc,Merged,7.0,7–<15B
Kukedlc/NeuralSynthesis-7B-v0.1,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/NeuralSynthesis-7B-v0.2,Kukedlc,Merged,7.0,7–<15B
Kukedlc/NeuralSynthesis-7B-v0.3,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/NeuralSynthesis-7b-v0.4-slerp,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/Ramakrishna-7b-v3,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/Smart-LLaMa-3-8b-Python-v4,Kukedlc,Fine-tuned,8.0,7–<15B
Kukedlc/Smart-LLama-3-8b-Python-v5,Kukedlc,Fine-tuned,8.0,7–<15B
Kukedlc/SmartLlama-3-8B-MS-v0.1,Kukedlc,Chat/post-trained,8.0,7–<15B
Kukedlc/SuperMente-7B-v4,Kukedlc,Fine-tuned,7.0,7–<15B
Kukedlc/neuronal-7b-Mlab,Kukedlc,Fine-tuned,7.0,7–<15B
Kunhao/pile-7b,Kunhao,Unknown,,Unknown
Kunhao/pile-7b-250b-tokens,Kunhao,Pretrained,7.0,7–<15B
L-R/LLmRA-3B-v0.1,L-R,Fine-tuned,3.0,3–<7B
L-R/LLmRa-1.3B,L-R,Fine-tuned,1.0,<3B
L-R/LLmRa-1.3B_V2,L-R,Fine-tuned,1.0,<3B
L-R/LLmRa-2.7B,L-R,Fine-tuned,2.0,<3B
LDCC/LDCC-SOLAR-10.7B,LDCC,Fine-tuned,10.0,7–<15B
LHC88/DPOpenHermes-7B-v2-PerfLaser,LHC88,Fine-tuned,7.0,7–<15B
LHC88/LaseredHermes-7B-v1,LHC88,Fine-tuned,7.0,7–<15B
LLM360/Amber,LLM360,Pretrained,,Unknown
LLM360/AmberChat,LLM360,Fine-tuned,6.0,3–<7B
LLM360/K2,LLM360,Pretrained,65.0,≥40B
LLMNewbie/vic_critT_20pr,LLMNewbie,Fine-tuned,10.0,7–<15B
LLMs/AlpacaGPT4-7B-elina,LLMs,Fine-tuned,7.0,7–<15B
LLMs/WizardLM-13B-V1.0,LLMs,Fine-tuned,13.0,7–<15B
LLMs/WizardLM-30B-V1.0,LLMs,Unknown,30.0,15–<40B
LTC-AI-Labs/Guanaco-Vicuna-7B-L2,LTC-AI-Labs,Fine-tuned,6.0,3–<7B
LTC-AI-Labs/L2-7b-Base-WVG-Uncensored,LTC-AI-Labs,Fine-tuned,7.0,7–<15B
LTC-AI-Labs/L2-7b-Base-test-WVG,LTC-AI-Labs,Fine-tuned,6.0,3–<7B
LTC-AI-Labs/L2-7b-Beluga-WVG-Test,LTC-AI-Labs,Fine-tuned,7.0,7–<15B
LTC-AI-Labs/L2-7b-Hermes-Synthia,LTC-AI-Labs,Unknown,7.0,7–<15B
LTC-AI-Labs/L2-7b-Hermes-WVG-Test,LTC-AI-Labs,Fine-tuned,7.0,7–<15B
LTC-AI-Labs/L2-7b-Synthia-WVG-Test,LTC-AI-Labs,Fine-tuned,7.0,7–<15B
Lajonbot/Llama-2-13b-hf-instruct-pl-lora_unload,Lajonbot,Fine-tuned,13.0,7–<15B
Lajonbot/Llama-2-7b-chat-hf-instruct-pl-lora_unload,Lajonbot,Fine-tuned,7.0,7–<15B
Lajonbot/tableBeluga-7B-instruct-pl-lora_unload,Lajonbot,Fine-tuned,7.0,7–<15B
Lajonbot/vicuna-13b-v1.3-PL-lora_unload,Lajonbot,Fine-tuned,13.0,7–<15B
Lajonbot/vicuna-7b-v1.5-PL-lora_unload,Lajonbot,Fine-tuned,7.0,7–<15B
Lambent/danube2-upscale-1.7,Lambent,Fine-tuned,2.0,<3B
Lambent/threebird-7B,Lambent,Merged,7.0,7–<15B
Langboat/Mengzi3-13B-Base,Langboat,Continually pretrained,13.0,7–<15B
Lazycuber/Janemalion-6B,Lazycuber,Unknown,,Unknown
Lazycuber/L2-7b-Base-Guanaco-Uncensored,Lazycuber,Fine-tuned,7.0,7–<15B
Lazycuber/L2-7b-Guanaco-Random-Test,Lazycuber,Unknown,,Unknown
Lazycuber/L2-7b-Guanaco-Uncensored,Lazycuber,Fine-tuned,6.0,3–<7B
Lazycuber/L2-7b-Orca-WVG-Test,Lazycuber,Fine-tuned,6.0,3–<7B
Lazycuber/pyg-instruct-wizardlm,Lazycuber,Fine-tuned,,Unknown
LeoLM/leo-hessianai-13b,LeoLM,Fine-tuned,13.0,7–<15B
LeoLM/leo-hessianai-7b,LeoLM,Fine-tuned,7.0,7–<15B
LeoLM/leo-hessianai-7b-chat,LeoLM,Chat/post-trained,7.0,7–<15B
LeoLM/leo-hessianai-7b-chat-bilingual,LeoLM,Chat/post-trained,7.0,7–<15B
LeroyDyer/Mistral_AI_v2,LeroyDyer,Merged,7.0,7–<15B
LeroyDyer/Mixtral_AI_128k,LeroyDyer,Merged,7.0,7–<15B
LeroyDyer/Mixtral_AI_128k_b,LeroyDyer,Merged,7.0,7–<15B
LeroyDyer/Mixtral_AI_128k_bioMedical,LeroyDyer,Unknown,,Unknown
LeroyDyer/Mixtral_AI_CyberBrain_3_0,LeroyDyer,Fine-tuned,7.0,7–<15B
LeroyDyer/Mixtral_AI_CyberBrain_Coder,LeroyDyer,Fine-tuned,12.0,7–<15B
LeroyDyer/Mixtral_AI_CyberCoder,LeroyDyer,Merged,7.0,7–<15B
LeroyDyer/Mixtral_AI_CyberTron,LeroyDyer,Fine-tuned,7.0,7–<15B
LeroyDyer/Mixtral_AI_CyberTron_Coder,LeroyDyer,Fine-tuned,7.0,7–<15B
LeroyDyer/Mixtral_AI_CyberTron_DeepMind_III_UFT,LeroyDyer,Fine-tuned,7.0,7–<15B
LeroyDyer/Mixtral_AI_CyberTron_Ultra,LeroyDyer,Continually pretrained,7.0,7–<15B
LeroyDyer/Mixtral_AI_CyberUltron_DPO,LeroyDyer,Fine-tuned,7.0,7–<15B
LeroyDyer/Mixtral_AI_Cyber_2.0,LeroyDyer,Fine-tuned,7.0,7–<15B
LeroyDyer/Mixtral_AI_Cyber_3.0,LeroyDyer,Fine-tuned,7.0,7–<15B
LeroyDyer/Mixtral_AI_Cyber_3.1_SFT,LeroyDyer,Fine-tuned,7.0,7–<15B
LeroyDyer/Mixtral_AI_Cyber_3.m1,LeroyDyer,Fine-tuned,7.0,7–<15B
LeroyDyer/Mixtral_AI_Cyber_3.m2,LeroyDyer,Fine-tuned,7.0,7–<15B
LeroyDyer/Mixtral_AI_Cyber_4.0,LeroyDyer,Fine-tuned,7.0,7–<15B
LeroyDyer/Mixtral_AI_Cyber_5.0,LeroyDyer,Fine-tuned,7.0,7–<15B
LeroyDyer/Mixtral_AI_Cyber_Child,LeroyDyer,Fine-tuned,,Unknown
LeroyDyer/Mixtral_AI_Cyber_Matrix_2_0,LeroyDyer,Fine-tuned,7.0,7–<15B
LeroyDyer/Mixtral_AI_Cyber_MegaMind_3_0,LeroyDyer,Fine-tuned,24.0,15–<40B
LeroyDyer/Mixtral_AI_LCARS_,LeroyDyer,Fine-tuned,7.0,7–<15B
LeroyDyer/Mixtral_AI_MasterTron,LeroyDyer,Fine-tuned,7.0,7–<15B
LeroyDyer/Mixtral_AI_SwahiliTron_7b,LeroyDyer,Fine-tuned,7.0,7–<15B
LeroyDyer/Mixtral_AI_base_128k,LeroyDyer,Merged,7.0,7–<15B
LeroyDyer/Mixtral_BioMedical,LeroyDyer,Merged,7.0,7–<15B
LeroyDyer/Mixtral_Chat_X,LeroyDyer,Merged,7.0,7–<15B
LeroyDyer/Mixtral_Chat_X_128k,LeroyDyer,Merged,7.0,7–<15B
LeroyDyer/Mixtral_Instruct,LeroyDyer,Merged,7.0,7–<15B
LeroyDyer/Mixtral_ThoughtsProcess_1,LeroyDyer,Merged,7.0,7–<15B
LeroyDyer/Mixtral_Uncensored,LeroyDyer,Merged,7.0,7–<15B
LeroyDyer/SpydazWeb_AI_BASE_128k,LeroyDyer,Merged,7.0,7–<15B
LewisDeBenoisIV/BillyTheKid1803,LewisDeBenoisIV,Merged,7.0,7–<15B
LewisDeBenoisIV/Jason1903_SLERP,LewisDeBenoisIV,Merged,7.0,7–<15B
Lexic0n/Mistral_7B-Open_Hermes-NSFWV1,Lexic0n,Fine-tuned,7.0,7–<15B
Liangmingxin/ThetaWave-7B-sft,Liangmingxin,Fine-tuned,7.0,7–<15B
Lichang-Chen/random_max_spin_filter1,Lichang-Chen,Fine-tuned,,Unknown
Lichang-Chen/reward_max_spin_filter0.7,Lichang-Chen,Fine-tuned,,Unknown
LinkSoul/Chinese-Llama-2-7b,LinkSoul,Fine-tuned,7.0,7–<15B
Linly-AI/Chinese-LLaMA-2-7B-hf,Linly-AI,Fine-tuned,7.0,7–<15B
LoSboccacc/orthogonal-2x7B-base,LoSboccacc,Fine-tuned,12.0,7–<15B
LoSboccacc/orthogonal-2x7B-v2-base,LoSboccacc,Fine-tuned,12.0,7–<15B
Locutusque/ChatHercules-2.5-Mistral-7B-DPO,Locutusque,Chat/post-trained,7.0,7–<15B
Locutusque/Hercules-1.0-Mistral-7B,Locutusque,Chat/post-trained,7.0,7–<15B
Locutusque/Hercules-2.0-Mistral-7B,Locutusque,Chat/post-trained,7.0,7–<15B
Locutusque/Hercules-3.0-Mistral-7B,Locutusque,Chat/post-trained,7.0,7–<15B
Locutusque/Hercules-3.1-Mistral-7B,Locutusque,Chat/post-trained,7.0,7–<15B
Locutusque/Hercules-4.0-Mistral-v0.2-7B,Locutusque,Chat/post-trained,7.0,7–<15B
Locutusque/Hercules-4.0-Yi-34B,Locutusque,Chat/post-trained,34.0,15–<40B
Locutusque/Hyperion-1.5-Mistral-7B,Locutusque,Chat/post-trained,7.0,7–<15B
Locutusque/Hyperion-2.0-Mistral-7B,Locutusque,Chat/post-trained,7.0,7–<15B
Locutusque/Hyperion-2.0-Yi-34B,Locutusque,Chat/post-trained,34.0,15–<40B
Locutusque/Hyperion-2.1-Mistral-7B,Locutusque,Chat/post-trained,7.0,7–<15B
Locutusque/Hyperion-3.0-Mistral-7B-DPO,Locutusque,Chat/post-trained,7.0,7–<15B
Locutusque/Hyperion-3.0-Mistral-7B-alpha,Locutusque,Chat/post-trained,7.0,7–<15B
Locutusque/Hyperion-3.0-Mixtral-3x7B,Locutusque,Chat/post-trained,18.0,15–<40B
Locutusque/Hyperion-3.0-Yi-34B,Locutusque,Chat/post-trained,34.0,15–<40B
Locutusque/Llama-3-Orca-2.0-8B,Locutusque,Chat/post-trained,8.0,7–<15B
Locutusque/LocutusqueXFelladrin-TinyMistral248M-Instruct,Locutusque,Fine-tuned,,Unknown
Locutusque/Mistral-7B-SFT,Locutusque,Fine-tuned,7.0,7–<15B
Locutusque/NeuralHyperion-2.0-Mistral-7B,Locutusque,Chat/post-trained,7.0,7–<15B
Locutusque/NeuralHyperion-Medium-Preview,Locutusque,Chat/post-trained,7.0,7–<15B
Locutusque/OpenCerebrum-1.0-7b-DPO,Locutusque,Chat/post-trained,7.0,7–<15B
Locutusque/OpenCerebrum-1.0-7b-SFT,Locutusque,Chat/post-trained,7.0,7–<15B
Locutusque/OpenCerebrum-1.5-Mistral-7B-v0.2-beta,Locutusque,Chat/post-trained,7.0,7–<15B
Locutusque/OpenCerebrum-1.5-Mistral-7b-v0.2-alpha,Locutusque,Chat/post-trained,7.0,7–<15B
Locutusque/OpenCerebrum-2.0-7B,Locutusque,Chat/post-trained,7.0,7–<15B
Locutusque/OpenHercules-2.5-Mistral-7B,Locutusque,Merged,7.0,7–<15B
Locutusque/Orca-2-13B-no_robots,Locutusque,Chat/post-trained,13.0,7–<15B
Locutusque/Orca-2-13b-SFT-v4,Locutusque,Fine-tuned,13.0,7–<15B
Locutusque/Orca-2-13b-SFT-v6,Locutusque,Chat/post-trained,13.0,7–<15B
Locutusque/Orca-2-13b-SFT_v5,Locutusque,Fine-tuned,13.0,7–<15B
Locutusque/Rhino-Mistral-7B,Locutusque,Fine-tuned,7.0,7–<15B
Locutusque/SlimHercules-4.0-Mistral-7B-v0.2,Locutusque,Chat/post-trained,7.0,7–<15B
Locutusque/TinyMistral-248M-Instruct,Locutusque,Chat/post-trained,,Unknown
Locutusque/TinyMistral-248M-v2,Locutusque,Pretrained,,Unknown
Locutusque/TinyMistral-248M-v2.5,Locutusque,Pretrained,,Unknown
Locutusque/TinyMistral-248M-v2.5-Instruct,Locutusque,Chat/post-trained,,Unknown
Locutusque/TinyMistral-248m,Locutusque,Pretrained,,Unknown
Locutusque/UltraQwen-7B,Locutusque,Fine-tuned,7.0,7–<15B
Locutusque/gpt2-conversational-or-qa,Locutusque,Fine-tuned,,Unknown
Locutusque/hyperion-medium-preview,Locutusque,Chat/post-trained,7.0,7–<15B
Locutusque/llama-3-neural-chat-v1-8b,Locutusque,Chat/post-trained,8.0,7–<15B
Locutusque/llama-3-neural-chat-v2.2-8B,Locutusque,Chat/post-trained,8.0,7–<15B
Locutusque/lr-experiment1-7B,Locutusque,Chat/post-trained,7.0,7–<15B
LordNoah/Alpaca-tuned-gpt2,LordNoah,Fine-tuned,,Unknown
