repo,family
open-llm-leaderboard-old/details_Eurdem__megatron_v3_2x7B,Eurdem
open-llm-leaderboard-old/details_Eric111__Mayoroya,Eric111
open-llm-leaderboard-old/details_Eurdem__megatron_v1,Eurdem
open-llm-leaderboard-old/details_Eurdem__megatron_v4_4x7B,Eurdem
open-llm-leaderboard-old/details_Evaloric__Evaloric-1.1B,Evaloric
open-llm-leaderboard-old/details_FINGU-AI__Qwen-Orpo-v1,FINGU-AI
open-llm-leaderboard-old/details_DrNicefellow__Mistral-7-from-Mixtral-8x7B-v0.1,DrNicefellow
open-llm-leaderboard-old/details_Evaloric__Evaloric-1.1B-V.0.1,Evaloric
open-llm-leaderboard-old/details_Evillain__StarDust_20B_v0.2,Evillain
open-llm-leaderboard-old/details_Expert68__llama2_13b_instructed_version2,Expert68
open-llm-leaderboard-old/details_FINDA-FIT__llama-r,FINDA-FIT
open-llm-leaderboard-old/details_Evaloric__Evaloric-1.1B-test,Evaloric
open-llm-leaderboard-old/details_FINGU-AI__FinguAI-Chat-v1,FINGU-AI
open-llm-leaderboard-old/details_FPHam__Free_Sydney_13b_HF,FPHam
open-llm-leaderboard-old/details_FPHam__Sydney_Overthinker_13b_HF,FPHam
open-llm-leaderboard-old/details_FPHam__Writing_Partner_Mistral_7B,FPHam
open-llm-leaderboard-old/details_FallenMerick__Smart-Lemon-Cookie-7B,FallenMerick
open-llm-leaderboard-old/details_FairMind__Llama-3-8B-4bit-UltraChat-Ita,FairMind
open-llm-leaderboard-old/details_FairMind__Phi-3-mini-4k-instruct-bnb-4bit-Ita,FairMind
open-llm-leaderboard-old/details_FallenMerick__Chunky-Lemon-Cookie-11B,FallenMerick
open-llm-leaderboard-old/details_Faradaylab__ARIA-70B-V2,Faradaylab
open-llm-leaderboard-old/details_Faradaylab__Aria-70B,Faradaylab
open-llm-leaderboard-old/details_Faradaylab__ARIA-70B-V3,Faradaylab
open-llm-leaderboard-old/details_FelixChao__Capricorn-7B,FelixChao
open-llm-leaderboard-old/details_FelixChao__Cygnus-7B,FelixChao
open-llm-leaderboard-old/details_FelixChao__ExtremeDolphin-MoE,FelixChao
open-llm-leaderboard-old/details_FelixChao__Capricorn-7B-DPO,FelixChao
open-llm-leaderboard-old/details_FelixChao__Gemma-10.2B,FelixChao
open-llm-leaderboard-old/details_FelixChao__CodeLlama13B-Finetune-v1,FelixChao
open-llm-leaderboard-old/details_FelixChao__Faraday-7B,FelixChao
open-llm-leaderboard-old/details_FelixChao__Llama-3-Petro-Instruct-v1,FelixChao
open-llm-leaderboard-old/details_DreadPoor__JustToSuffer-7B-slerp,DreadPoor
open-llm-leaderboard-old/details_DreadPoor__IamSoTired-7B-slerp,DreadPoor
open-llm-leaderboard-old/details_DreadPoor__Cognate-7B-slerp,DreadPoor
open-llm-leaderboard-old/details_DreadPoor__Harpy-7B-Model_Stock,DreadPoor
open-llm-leaderboard-old/details_FelixChao__ShadowNeural-7B-v1,FelixChao
open-llm-leaderboard-old/details_FelixChao__ShadowNeural-7B-ORPO,FelixChao
open-llm-leaderboard-old/details_FelixChao__Gemma-10.2B-Coder,FelixChao
open-llm-leaderboard-old/details_FelixChao__Magician-MoE-4x7B,FelixChao
open-llm-leaderboard-old/details_FelixChao__MathDolphin-7B,FelixChao
open-llm-leaderboard-old/details_FelixChao__NarutoDolphin-7B,FelixChao
open-llm-leaderboard-old/details_FelixChao__WestSeverus-10.7B,FelixChao
open-llm-leaderboard-old/details_FelixChao__NinjaDolphin-7B,FelixChao
open-llm-leaderboard-old/details_FelixChao__Voldemort-10B,FelixChao
open-llm-leaderboard-old/details_FelixChao__Scorpio-7B,FelixChao
open-llm-leaderboard-old/details_FelixChao__Patronum-7B,FelixChao
open-llm-leaderboard-old/details_FelixChao__Sirius-10B,FelixChao
open-llm-leaderboard-old/details_FelixChao__Severus-7B,FelixChao
open-llm-leaderboard-old/details_FelixChao__Sectumsempra-7B-DPO,FelixChao
open-llm-leaderboard-old/details_FelixChao__WestSeverus-7B-DPO-v2,FelixChao
open-llm-leaderboard-old/details_FelixChao__WestSeverus-7B,FelixChao
open-llm-leaderboard-old/details_Felladrin__Minueza-32M-UltraChat,Felladrin
open-llm-leaderboard-old/details_FelixChao__NarutoDolphin-10B,FelixChao
open-llm-leaderboard-old/details_FelixChao__WizardDolphin-7B,FelixChao
open-llm-leaderboard-old/details_FelixChao__llama2-13b-math1.1,FelixChao
open-llm-leaderboard-old/details_FelixChao__vicuna-33b-coder,FelixChao
open-llm-leaderboard-old/details_Felladrin__Minueza-32M-Deita,Felladrin
open-llm-leaderboard-old/details_FelixChao__vicuna-7B-physics,FelixChao
open-llm-leaderboard-old/details_Felladrin__Llama-68M-Chat-v1,Felladrin
open-llm-leaderboard-old/details_Fischerboot__mergekit-slerp-awrvish,Fischerboot
open-llm-leaderboard-old/details_Felladrin__Smol-Llama-101M-Chat-v1,Felladrin
open-llm-leaderboard-old/details_Felladrin__TinyMistral-248M-Chat-v2,Felladrin
open-llm-leaderboard-old/details_Felladrin__TinyMistral-248M-Chat-v1,Felladrin
open-llm-leaderboard-old/details_Felladrin__Minueza-32Mx2-Chat,Felladrin
open-llm-leaderboard-old/details_FelixChao__llama2-13b-math1.2,FelixChao
open-llm-leaderboard-old/details_Felladrin__Pythia-31M-Chat-v1,Felladrin
open-llm-leaderboard-old/details_FlagAlpha__Llama3-Chinese-8B-Instruct,FlagAlpha
open-llm-leaderboard-old/details_Felladrin__Llama-160M-Chat-v1,Felladrin
open-llm-leaderboard-old/details_Felladrin__Minueza-32M-Base,Felladrin
open-llm-leaderboard-old/details_Felladrin__Minueza-32M-Chat,Felladrin
open-llm-leaderboard-old/details_Fredithefish__Guanaco-13B-Uncensored,Fredithefish
open-llm-leaderboard-old/details_Felladrin__TinyMistral-248M-SFT-v3,Felladrin
open-llm-leaderboard-old/details_Felladrin__TinyMistral-248M-SFT-v4,Felladrin
open-llm-leaderboard-old/details_Fredithefish__CrimsonPajama,Fredithefish
open-llm-leaderboard-old/details_Fredithefish__Guanaco-3B-Uncensored,Fredithefish
open-llm-leaderboard-old/details_Fizzarolli__sappha-2b-v3,Fizzarolli
open-llm-leaderboard-old/details_FlagAlpha__Llama2-Chinese-13b-Chat,FlagAlpha
open-llm-leaderboard-old/details_FredrikBL__SwedishBeagle-dare,FredrikBL
open-llm-leaderboard-old/details_FinancialSupport__saiga-7b,FinancialSupport
open-llm-leaderboard-old/details_Fredithefish__Guanaco-3B-Uncensored-v2,Fredithefish
open-llm-leaderboard-old/details_Fredithefish__MadMix-v0.1,Fredithefish
open-llm-leaderboard-old/details_FoxEngineAi__Mega-Destroyer-8x7B,FoxEngineAi
open-llm-leaderboard-old/details_Fredithefish__ReasonixPajama-3B-HF,Fredithefish
open-llm-leaderboard-old/details_Fredithefish__Guanaco-7B-Uncensored,Fredithefish
open-llm-leaderboard-old/details_Fredithefish__RedPajama-INCITE-Chat-3B-Instruction-Tuning-with-GPT-4,Fredithefish
open-llm-leaderboard-old/details_Fredithefish__RedPajama-INCITE-Chat-3B-ShareGPT-11K,Fredithefish
open-llm-leaderboard-old/details_Fredithefish__OpenZephyrChat,Fredithefish
open-llm-leaderboard-old/details_Fredithefish__MadMix-v0.2,Fredithefish
open-llm-leaderboard-old/details_FlagAlpha__Llama2-Chinese-7b-Chat,FlagAlpha
open-llm-leaderboard-old/details_FreedomIntelligence__phoenix-inst-chat-7b,FreedomIntelligence
open-llm-leaderboard-old/details_FredrikBL__test-dare,FredrikBL
open-llm-leaderboard-old/details_FredrikBL__test-ties,FredrikBL
open-llm-leaderboard-old/details_FredrikBL__NeuralPipe-7B-slerp,FredrikBL
open-llm-leaderboard-old/details_Fredithefish__ScarletPajama-3B-HF,Fredithefish
open-llm-leaderboard-old/details_FuseAI__FuseChat-7B-Slerp,FuseAI
open-llm-leaderboard-old/details_FreedomIntelligence__AceGPT-7B,FreedomIntelligence
open-llm-leaderboard-old/details_FuseAI__FuseChat-7B-VaRM,FuseAI
open-llm-leaderboard-old/details_FuseAI__OpenChat-3.5-7B-Mixtral,FuseAI
open-llm-leaderboard-old/details_G-reen__EXPERIMENT-DPO-m7b2-3-merged,G-reen
open-llm-leaderboard-old/details_FuseAI__OpenChat-3.5-7B-Solar,FuseAI
open-llm-leaderboard-old/details_G-reen__EXPERIMENT-DPO-m7b2-1-merged,G-reen
open-llm-leaderboard-old/details_G-reen__EXPERIMENT-ORPO-m7b2-1-merged,G-reen
open-llm-leaderboard-old/details_G-reen__EXPERIMENT-DPO-m7b2-2-merged,G-reen
open-llm-leaderboard-old/details_GeorgiaTech__0.0005_llama_nodpo_3iters_bs128_531lr_oldtrl_iter_2,GeorgiaTech
open-llm-leaderboard-old/details_GeorgiaTech__0.0_llama_nodpo_3iters_bs128_531lr_iter_2,GeorgiaTech
open-llm-leaderboard-old/details_GeorgiaTech__0.0_llama_nodpo_3iters_bs128_531lr_iter_1,GeorgiaTech
open-llm-leaderboard-old/details_FuseAI__FuseChat-7B-TA,FuseAI
open-llm-leaderboard-old/details_GeorgiaTech__0.0_llama_nodpo_3iters_bs128_531lr_iter_3,GeorgiaTech
open-llm-leaderboard-old/details_G-reen__EXPERIMENT-ORPO-m7b2-2-merged,G-reen
open-llm-leaderboard-old/details_G-reen__EXPERIMENT-SFT-m7b2-1-merged,G-reen
open-llm-leaderboard-old/details_G-reen__EXPERIMENT-SFT-m7b2-2-merged,G-reen
open-llm-leaderboard-old/details_G-reen__EXPERIMENT-SFT-m7b2-3-merged,G-reen
open-llm-leaderboard-old/details_GOAT-AI__GOAT-70B-Storytelling,GOAT-AI
open-llm-leaderboard-old/details_GOAT-AI__GOAT-7B-Community,GOAT-AI
open-llm-leaderboard-old/details_GeneZC__MiniChat-2-3B,GeneZC
open-llm-leaderboard-old/details_GeneZC__MiniChat-3B,GeneZC
open-llm-leaderboard-old/details_GeorgiaTechResearchInstitute__galpaca-30b,GeorgiaTechResearchInstitute
open-llm-leaderboard-old/details_GeneZC__MiniMA-3B,GeneZC
open-llm-leaderboard-old/details_GeneZC__MiniMA-2-3B,GeneZC
open-llm-leaderboard-old/details_GeorgiaTechResearchInstitute__starcoder-gpteacher-code-instruct,GeorgiaTechResearchInstitute
open-llm-leaderboard-old/details_Gille__MoE-StrangeMerges-2x7B,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_13-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_18-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_16-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_15-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_10-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_12-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_2-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_17-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_20-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_11-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_31-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_21-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_22-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_23-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_24-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_26-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_27-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_29-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_30-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_28-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_3-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_25-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_33-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_34-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_32-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_37-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_35-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_4-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_38-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_50-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_36-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_40-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_41-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_42-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_43-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_45-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_44-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_48-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_49-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_46-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_5-7B-ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_51-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_47-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_52-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_6-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_7-7B-slerp,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_8-7B-slerp,Gille
open-llm-leaderboard-old/details_Gryphe__Pantheon-RP-1.0-8b-Llama-3,Gryphe
open-llm-leaderboard-old/details_Gryphe__Tiamat-8b-1.2-Llama-3-DPO,Gryphe
open-llm-leaderboard-old/details_H-D-T__Buzz-8b-Large-v0.5,H-D-T
open-llm-leaderboard-old/details_Gille__StrangeMerges_9-7B-dare_ties,Gille
open-llm-leaderboard-old/details_Gille__StrangeMerges_53-7B-model_stock,Gille
open-llm-leaderboard-old/details_Gryphe__MythoBoros-13b,Gryphe
open-llm-leaderboard-old/details_GreenNode__GreenNodeLM-7B-v1olet,GreenNode
open-llm-leaderboard-old/details_GreenNode__GreenNodeLM-7B-v2leo,GreenNode
open-llm-leaderboard-old/details_HaileyStorm__llama3-5.4b-instruct,HaileyStorm
open-llm-leaderboard-old/details_GreenNode__GreenNodeLM-v3olet-7B,GreenNode
open-llm-leaderboard-old/details_Gryphe__MythoLogic-13b,Gryphe
open-llm-leaderboard-old/details_GreenNode__GreenNodeLM-7B-v4leo,GreenNode
open-llm-leaderboard-old/details_GreenNode__Merged-DPO-7B,GreenNode
open-llm-leaderboard-old/details_Hastagaras__Anjir-8B-L3,Hastagaras
open-llm-leaderboard-old/details_Gryphe__MythoLogic-L2-13b,Gryphe
open-llm-leaderboard-old/details_Hastagaras__Halu-8B-Llama3-Blackroot,Hastagaras
open-llm-leaderboard-old/details_HWERI__pythia-70m-deduped-cleansharegpt,HWERI
open-llm-leaderboard-old/details_Hastagaras__Halu-8B-Llama3-DT,Hastagaras
open-llm-leaderboard-old/details_Hastagaras__Halu-8B-Llama3-CR-v0.45,Hastagaras
open-llm-leaderboard-old/details_GritLM__GritLM-7B,GritLM
open-llm-leaderboard-old/details_Hastagaras__Halu-OAS-8B-Llama3,Hastagaras
open-llm-leaderboard-old/details_Hastagaras__Halu-8B-Llama3-v0.3,Hastagaras
open-llm-leaderboard-old/details_Gryphe__MythoMist-7b,Gryphe
open-llm-leaderboard-old/details_Hastagaras__HaluAnjir-8B-L3-DD,Hastagaras
open-llm-leaderboard-old/details_Hastagaras__llama-3-8b-okay,Hastagaras
open-llm-leaderboard-old/details_HWERI__pythia-70m-deduped-cleansharegpt-en,HWERI
open-llm-leaderboard-old/details_GritLM__GritLM-8x7B,GritLM
open-llm-leaderboard-old/details_Gryphe__MythoMix-L2-13b,Gryphe
open-llm-leaderboard-old/details_HIT-SCIR__Chinese-Mixtral-8x7B,HIT-SCIR
open-llm-leaderboard-old/details_HWERI__pythia-1.4b-deduped-sharegpt,HWERI
open-llm-leaderboard-old/details_HIT-SCIR__huozi3,HIT-SCIR
open-llm-leaderboard-old/details_HanNayeoniee__LHK,HanNayeoniee
open-llm-leaderboard-old/details_HenryJJ__llama3-8b-cqia,HenryJJ
open-llm-leaderboard-old/details_Henk717__chronoboros-33B,Henk717
open-llm-leaderboard-old/details_Henk717__airochronos-33B,Henk717
open-llm-leaderboard-old/details_Herry443__Mistral-7B-KNUT-ref-en,Herry443
open-llm-leaderboard-old/details_Hertz__Mistral-Hermes-2x7b,Hertz
open-llm-leaderboard-old/details_HiTZ__alpaca-lora-65b-en-pt-es-ca,HiTZ
open-llm-leaderboard-old/details_Himitsui__Kaiju-11B,Himitsui
open-llm-leaderboard-old/details_Himitsui__KuroMitsu-11B,Himitsui
open-llm-leaderboard-old/details_HuggingFaceH4__mistral-7b-grok,HuggingFaceH4
open-llm-leaderboard-old/details_HuggingFaceFW__ablation-model-fineweb-v1,HuggingFaceFW
open-llm-leaderboard-old/details_HuggingFaceH4__starchat-beta,HuggingFaceH4
open-llm-leaderboard-old/details_HuggingFaceH4__zephyr-7b-beta,HuggingFaceH4
open-llm-leaderboard-old/details_HuggingFaceH4__zephyr-7b-alpha_private,HuggingFaceH4
open-llm-leaderboard-old/details_HuggingFaceH4__zephyr-7b-gemma-v0.1,HuggingFaceH4
open-llm-leaderboard-old/details_HyperbeeAI__Tulpar-7b-v0,HyperbeeAI
open-llm-leaderboard-old/details_HuggingFaceTB__cosmo-1b,HuggingFaceTB
open-llm-leaderboard-old/details_Harshvir__Llama-2-7B-physics,Harshvir
open-llm-leaderboard-old/details_HyperbeeAI__Tulpar-7b-v1,HyperbeeAI
open-llm-leaderboard-old/details_Heng666__EastAsia-4x7B-Moe-experiment,Heng666
open-llm-leaderboard-old/details_HyperbeeAI__Tulpar-7b-v2,HyperbeeAI
open-llm-leaderboard-old/details_ICBU-NPU__FashionGPT-70B-V1.1,ICBU-NPU
open-llm-leaderboard-old/details_ICBU-NPU__FashionGPT-70B-V1.2,ICBU-NPU
open-llm-leaderboard-old/details_IDEA-CCNL__Ziya2-13B-Base,IDEA-CCNL
open-llm-leaderboard-old/details_Hemanth-thunder__Tamil-Mistral-7B-v0.1,Hemanth-thunder
open-llm-leaderboard-old/details_IGeniusDev__llama13B-quant8-testv1-openorca-customdataset,IGeniusDev
open-llm-leaderboard-old/details_HanNayeoniee__LHK_DPO_v1,HanNayeoniee
open-llm-leaderboard-old/details_ICBU-NPU__FashionGPT-70B-V1,ICBU-NPU
open-llm-leaderboard-old/details_INSAIT-Institute__BgGPT-7B-Instruct-v0.1,INSAIT-Institute
open-llm-leaderboard-old/details_IDEA-CCNL__Ziya-LLaMA-13B-Pretrain-v1,IDEA-CCNL
open-llm-leaderboard-old/details_IDEA-CCNL__Ziya-LLaMA-13B-v1,IDEA-CCNL
open-llm-leaderboard-old/details_INSAIT-Institute__BgGPT-7B-Instruct-v0.2,INSAIT-Institute
open-llm-leaderboard-old/details_Ichsan2895__Merak-7B-v5-PROTOTYPE1,Ichsan2895
open-llm-leaderboard-old/details_IkariDev__Athena-v3,IkariDev
open-llm-leaderboard-old/details_IkariDev__Athena-v1,IkariDev
open-llm-leaderboard-old/details_Iker__Neurona-2b,Iker
open-llm-leaderboard-old/details_Iker__Llama-3-Neurona-8b,Iker
open-llm-leaderboard-old/details_IkariDev__Athena-v4,IkariDev
open-llm-leaderboard-old/details_IkariDev__Athnete-13B,IkariDev
open-llm-leaderboard-old/details_InferenceIllusionist__Excalibur-7b-DPO,InferenceIllusionist
open-llm-leaderboard-old/details_InferenceIllusionist__Magic-Dolphin-7b,InferenceIllusionist
open-llm-leaderboard-old/details_Infinimol__miiqu-f16,Infinimol
open-llm-leaderboard-old/details_InnerI__A-I-0xtom-7B-slerp,InnerI
open-llm-leaderboard-old/details_InnerI__I-Code-NousLlama7B-slerp,InnerI
open-llm-leaderboard-old/details_HenryJJ__Instruct_Yi-6B_Dolly_CodeAlpaca,HenryJJ
open-llm-leaderboard-old/details_IkariDev__Athena-tmp,IkariDev
open-llm-leaderboard-old/details_InnerI__InnerI-AI-sn6-7B-slerp,InnerI
open-llm-leaderboard-old/details_InnerI__InnerIAI-chat-7b-grok,InnerI
open-llm-leaderboard-old/details_InnerI__InnerILLM-0x00d0-7B-slerp,InnerI
open-llm-leaderboard-old/details_HenryJJ__dolphin-2.6-mistral-7b-dpo-orca-v1,HenryJJ
open-llm-leaderboard-old/details_InnerI__InnerILLM-7B-slerp,InnerI
open-llm-leaderboard-old/details_HenryJJ__dolphin-2.6-mistral-7b-dpo-orca,HenryJJ
open-llm-leaderboard-old/details_InnerI__InnerILLM-OpenPipe-Nous-Yarn-Mistral-optimized-1228-7B-slerp,InnerI
open-llm-leaderboard-old/details_HenryJJ__Instruct_Yi-6B_Dolly15K,HenryJJ
open-llm-leaderboard-old/details_InferenceIllusionist__Excalibur-7B,InferenceIllusionist
open-llm-leaderboard-old/details_Intel__neural-chat-7b-v3-1,Intel
open-llm-leaderboard-old/details_Intel__neural-chat-7b-v3,Intel
open-llm-leaderboard-old/details_Intel__neural-chat-7b-v3-2,Intel
open-llm-leaderboard-old/details_Intel__neural-chat-7b-v3-3,Intel
open-llm-leaderboard-old/details_Inv__Dykh-Tau-7B,Inv
open-llm-leaderboard-old/details_Inv__Elbrus-7B,Inv
open-llm-leaderboard-old/details_Inv__Konstanta-Gamma-V2-9B,Inv
open-llm-leaderboard-old/details_Inv__Konstanta-Gamma-10.9B,Inv
open-llm-leaderboard-old/details_Inv__Kazbek-7B,Inv
open-llm-leaderboard-old/details_Inv__Konstanta-7B,Inv
open-llm-leaderboard-old/details_Inv__Konstanta-V3-BetaFlavour-7B,Inv
open-llm-leaderboard-old/details_Inv__Konstanta-V3-AlphaFlavour-7B,Inv
open-llm-leaderboard-old/details_Inv__Konstanta-Alpha-V2-7B,Inv
open-llm-leaderboard-old/details_Inv__Konstanta-V4-Alpha-7B,Inv
open-llm-leaderboard-old/details_Inv__MoeMoE-2x7b,Inv
open-llm-leaderboard-old/details_HenryJJ__dolphin-2.6-mistral-7b-dpo-orca-v2,HenryJJ
open-llm-leaderboard-old/details_HenryJJ__dolphin-2.6-mistral-7b-dpo-orca-v3,HenryJJ
open-llm-leaderboard-old/details_HenryJJ__llama3-8B-lima,HenryJJ
open-llm-leaderboard-old/details_Hemanth-thunder__Tamil-Mistral-7B-Instruct-v0.1,Hemanth-thunder
open-llm-leaderboard-old/details_HenryJJ__Instruct_Mistral-7B-v0.1_Dolly15K,HenryJJ
open-llm-leaderboard-old/details_Isotonic__Mixnueza-6x32M-MoE,Isotonic
open-llm-leaderboard-old/details_Intel__neural-chat-7b-v3-3-Slerp,Intel
open-llm-leaderboard-old/details_Isotonic__Hermes-2-Pro-Mixtral-4x7B,Isotonic
open-llm-leaderboard-old/details_Isaak-Carter__JOSIE_Beta-3-7B-slerp,Isaak-Carter
open-llm-leaderboard-old/details_Isaak-Carter__J.O.S.I.E.3-Beta8-slerp,Isaak-Carter
open-llm-leaderboard-old/details_Isaak-Carter__JOSIE_Beta-4-7B-slerp,Isaak-Carter
open-llm-leaderboard-old/details_Isaak-Carter__J.O.S.I.E.3-Beta12-7B-slerp,Isaak-Carter
open-llm-leaderboard-old/details_Inv__MoECPM-Untrained-4x2b,Inv
open-llm-leaderboard-old/details_Isotonic__Mixnueza-Chat-6x32M-MoE,Isotonic
open-llm-leaderboard-old/details_Isotonic__TinyQwex-4x620M-MoE,Isotonic
open-llm-leaderboard-old/details_Isotonic__smol_llama-4x220M-MoE,Isotonic
open-llm-leaderboard-old/details_Isotonic__TinyMixtral-4x248M-MoE,Isotonic
open-llm-leaderboard-old/details_JCX-kcuf__Llama-2-7b-chat-hf-gpt-4-80k,JCX-kcuf
open-llm-leaderboard-old/details_JCX-kcuf__Llama-2-7b-chat-hf-gpt-3.5-80k-base_lora,JCX-kcuf
open-llm-leaderboard-old/details_Isaak-Carter__J.O.S.I.E.3-Beta10-7B-slerp,Isaak-Carter
open-llm-leaderboard-old/details_Isaak-Carter__J.O.S.I.E.3-Beta11-7B-slerp,Isaak-Carter
open-llm-leaderboard-old/details_JackFram__llama-160m,JackFram
open-llm-leaderboard-old/details_JCX-kcuf__Llama-2-7b-hf-gpt-4-80k,JCX-kcuf
open-llm-leaderboard-old/details_JCX-kcuf__Mistral-7B-v0.1-gpt-4-20k,JCX-kcuf
open-llm-leaderboard-old/details_JCX-kcuf__Llama-2-7b-hf-llama2-chat-80k,JCX-kcuf
open-llm-leaderboard-old/details_JCX-kcuf__Mistral-7B-v0.1-gpt-4-80k,JCX-kcuf
open-llm-leaderboard-old/details_JaeyeonKang__CCK-v1.3.0-DPO,JaeyeonKang
open-llm-leaderboard-old/details_JCX-kcuf__Mistral-7B-v0.1-gpt-4-60k,JCX-kcuf
open-llm-leaderboard-old/details_JCX-kcuf__Llama-2-7b-chat-hf-gpt-4-80k-base_lora,JCX-kcuf
open-llm-leaderboard-old/details_JaeyeonKang__CCK_Asura_v1.1.0,JaeyeonKang
open-llm-leaderboard-old/details_JCX-kcuf__Llama-2-7b-hf-gpt-3.5-80k,JCX-kcuf
open-llm-leaderboard-old/details_JaeyeonKang__CCK_Asura_v1,JaeyeonKang
open-llm-leaderboard-old/details_JaeyeonKang__CCK_Asura_v2,JaeyeonKang
open-llm-leaderboard-old/details_JaeyeonKang__CCK_Asura_v2.1,JaeyeonKang
open-llm-leaderboard-old/details_Jayant9928__orpo_med_v3,Jayant9928
open-llm-leaderboard-old/details_JCX-kcuf__openchat_3.5-gpt-4-80k,JCX-kcuf
open-llm-leaderboard-old/details_JaeyeonKang__CCK-v2.0-DPO,JaeyeonKang
open-llm-leaderboard-old/details_JaeyeonKang__CCK_Asura_v3.0,JaeyeonKang
open-llm-leaderboard-old/details_Joseph717171__Mistral-12.25B-v0.2,Joseph717171
open-llm-leaderboard-old/details_JaeyeonKang__CCK_Gony_v0.2,JaeyeonKang
open-llm-leaderboard-old/details_JaeyeonKang__CCK_Gony_v3,JaeyeonKang
open-llm-leaderboard-old/details_JaeyeonKang__CCK_Gony_v3.1,JaeyeonKang
open-llm-leaderboard-old/details_JaeyeonKang__CCK_Gony_v3.3,JaeyeonKang
open-llm-leaderboard-old/details_JaeyeonKang__CCK_gony,JaeyeonKang
open-llm-leaderboard-old/details_Jingyu6__MergeTest-7B-slerp,Jingyu6
open-llm-leaderboard-old/details_Joseph717171__Cerebrum-1.0-10.7B,Joseph717171
open-llm-leaderboard-old/details_JaeyeonKang__CCK_Gony_v3.2,JaeyeonKang
open-llm-leaderboard-old/details_Joseph717171__BigOrca-2-XB,Joseph717171
open-llm-leaderboard-old/details_Jaume__openchat-3.5-0106-mod-gpt5,Jaume
open-llm-leaderboard-old/details_JiheonJeong__v1,JiheonJeong
open-llm-leaderboard-old/details_Josephgflowers__Phi-3-mini-4k-instruct-Cinder-llamafied-with-16bit-GGUF,Josephgflowers
open-llm-leaderboard-old/details_JoSw-14__LoKuS-13B,JoSw-14
