repo,model_name,model_type,weight_type,precision,params_B,source_field:Type
open-llm-leaderboard-old/details_ConvexAI__Seraphim-8x10.7B-bf16,ConvexAI__Seraphim-8x10.7B-bf16,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,69,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_ConvexAI__Solutus-3x7B,ConvexAI__Solutus-3x7B,🤝 base merges and moerges,Original,bfloat16,18,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Corianas__1.3b,Corianas__1.3b,,Original,float16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Corianas__111m,Corianas__111m,🔶 fine-tuned on domain-specific datasets,Original,float16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Corianas__256_5epoch,Corianas__256_5epoch,🔶 fine-tuned on domain-specific datasets,Original,float16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Corianas__590m,Corianas__590m,,Original,float16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Corianas__DPO-miniguanaco-1.5T,Corianas__DPO-miniguanaco-1.5T,"💬 chat models (RLHF, DPO, IFT, ...)",Original,float16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Corianas__NearalMistral-2x7B,Corianas__NearalMistral-2x7B,🤝 base merges and moerges,Original,bfloat16,12,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Corianas__Neural-Mistral-7B,Corianas__Neural-Mistral-7B,"💬 chat models (RLHF, DPO, IFT, ...)",Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Corianas__Quokka_1.3b,Corianas__Quokka_1.3b,🔶 fine-tuned on domain-specific datasets,Original,float16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Corianas__Quokka_2.7b,Corianas__Quokka_2.7b,🔶 fine-tuned on domain-specific datasets,Original,float16,2,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Corianas__Quokka_256m,Corianas__Quokka_256m,🔶 fine-tuned on domain-specific datasets,Original,float16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Corianas__Quokka_590m,Corianas__Quokka_590m,🔶 fine-tuned on domain-specific datasets,Original,float16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Corianas__gpt-j-6B-Dolly,Corianas__gpt-j-6B-Dolly,🔶 fine-tuned on domain-specific datasets,Original,float16,6,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CortexLM__btlm-v1-7b-base-v0.1,CortexLM__btlm-v1-7b-base-v0.1,🟢 pretrained,Original,bfloat16,6,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CorticalStack__crown-clown-7b-slerp,CorticalStack__crown-clown-7b-slerp,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CorticalStack__gemma-7b-ultrachat-sft,CorticalStack__gemma-7b-ultrachat-sft,🔶 fine-tuned on domain-specific datasets,Original,float16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CorticalStack__mistral-7b-alpaca-sft,CorticalStack__mistral-7b-alpaca-sft,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CorticalStack__mistral-7b-distilabel-truthy-dpo,CorticalStack__mistral-7b-distilabel-truthy-dpo,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CorticalStack__mistral-7b-dolphin-sft,CorticalStack__mistral-7b-dolphin-sft,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CorticalStack__mistral-7b-jondurbin-truthy-dpo,CorticalStack__mistral-7b-jondurbin-truthy-dpo,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CorticalStack__mistral-7b-metamathqa-sft,CorticalStack__mistral-7b-metamathqa-sft,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CorticalStack__mistral-7b-openhermes-2.5-sft,CorticalStack__mistral-7b-openhermes-2.5-sft,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CorticalStack__mistral-7b-openhermes-sft,CorticalStack__mistral-7b-openhermes-sft,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CorticalStack__mistral-7b-slimorca-sft,CorticalStack__mistral-7b-slimorca-sft,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CorticalStack__mistral-7b-tak-stack-dpo,CorticalStack__mistral-7b-tak-stack-dpo,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CorticalStack__neurotic-crown-clown-7b-tak-stack-dpo,CorticalStack__neurotic-crown-clown-7b-tak-stack-dpo,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CorticalStack__neurotic-crown-clown-7b-ties,CorticalStack__neurotic-crown-clown-7b-ties,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CorticalStack__pastiche-crown-clown-7b-dare,CorticalStack__pastiche-crown-clown-7b-dare,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CorticalStack__pastiche-crown-clown-7b-dare-dpo,CorticalStack__pastiche-crown-clown-7b-dare-dpo,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CorticalStack__pikus-pikantny-7B-dare,CorticalStack__pikus-pikantny-7B-dare,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CorticalStack__shadow-clown-7B-dare,CorticalStack__shadow-clown-7B-dare,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CorticalStack__shadow-clown-7B-slerp,CorticalStack__shadow-clown-7B-slerp,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CorticalStack__travel-mistral-7B-16b-base,CorticalStack__travel-mistral-7B-16b-base,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CoruNethron__neu-sai-it1,CoruNethron__neu-sai-it1,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,4bit,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Cran-May__Test2_SLIDE,Cran-May__Test2_SLIDE,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CreitinGameplays__ConvAI-9b,CreitinGameplays__ConvAI-9b,🔶 fine-tuned on domain-specific datasets,Original,float16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CreitinGameplays__ConvAI-9b-v2,CreitinGameplays__ConvAI-9b-v2,🔶 fine-tuned on domain-specific datasets,Original,float16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CreitinGameplays__bloom-3b-conversational,CreitinGameplays__bloom-3b-conversational,🔶 fine-tuned on domain-specific datasets,Original,float16,3,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__AlphaCeption-7B-v1,CultriX__AlphaCeption-7B-v1,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__CombinaTrix-7B,CultriX__CombinaTrix-7B,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__CultriX-MoE-BF16,CultriX__CultriX-MoE-BF16,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,18,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__CultriX-MoE-Model,CultriX__CultriX-MoE-Model,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,12,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__MergeCeption-7B-v3,CultriX__MergeCeption-7B-v3,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__MergeTrix-7B,CultriX__MergeTrix-7B,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__MergeTrix-7B-v2,CultriX__MergeTrix-7B-v2,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__MistralTrix-SLERP,CultriX__MistralTrix-SLERP,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__MistralTrix-v1,CultriX__MistralTrix-v1,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__MistralTrixTest,CultriX__MistralTrixTest,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__MoNeuTrix-7B-v1,CultriX__MoNeuTrix-7B-v1,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__MonaCeption-7B-SLERP-DPO,CultriX__MonaCeption-7B-SLERP-DPO,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__MonaTrix-7B-DPOv2,CultriX__MonaTrix-7B-DPOv2,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__MonaTrix-v4,CultriX__MonaTrix-v4,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__MonaTrix-v4-7B-DPO,CultriX__MonaTrix-v4-7B-DPO,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__MonaTrix-v6,CultriX__MonaTrix-v6,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__NeuralCeptrix-7B-SLERP,CultriX__NeuralCeptrix-7B-SLERP,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__NeuralMona_MoE-4x7B,CultriX__NeuralMona_MoE-4x7B,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,24,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__NeuralTrix-7B-dpo,CultriX__NeuralTrix-7B-dpo,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__NeuralTrix-7B-v1,CultriX__NeuralTrix-7B-v1,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__NeuralTrix-bf16,CultriX__NeuralTrix-bf16,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__NeuralTrixlaser-bf16,CultriX__NeuralTrixlaser-bf16,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__OmniTrixAI,CultriX__OmniTrixAI,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__SevereNeuralBeagleTrix-7B,CultriX__SevereNeuralBeagleTrix-7B,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__Wernicke-7B-dpo,CultriX__Wernicke-7B-dpo,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__Wernicke-7B-v1,CultriX__Wernicke-7B-v1,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__Wernicke-7B-v8,CultriX__Wernicke-7B-v8,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_CultriX__Wernicke-7B-v9,CultriX__Wernicke-7B-v9,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DAMO-NLP-SG__CLEX-Mixtral-8x7B-Chat-32K,DAMO-NLP-SG__CLEX-Mixtral-8x7B-Chat-32K,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,46,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DBCMLAB__Llama-3-instruction-constructionsafety-layertuning,DBCMLAB__Llama-3-instruction-constructionsafety-layertuning,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DUAL-GPO-2__phi-2-gpo-renew2-b0.001-extra-v2-i1,DUAL-GPO-2__phi-2-gpo-renew2-b0.001-extra-v2-i1,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DUAL-GPO-2__phi-2-gpo-renew2-b0.001-v2-i1,DUAL-GPO-2__phi-2-gpo-renew2-b0.001-v2-i1,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DUAL-GPO-2__phi-2-gpo-renew2-i0,DUAL-GPO-2__phi-2-gpo-renew2-i0,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DUAL-GPO-2__phi-2-ipo-renew1,DUAL-GPO-2__phi-2-ipo-renew1,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DUAL-GPO-2__phi-2-ipo-test-iter-0,DUAL-GPO-2__phi-2-ipo-test-iter-0,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DUAL-GPO-2__zephyr-7b-gpo-v6-i1,DUAL-GPO-2__zephyr-7b-gpo-v6-i1,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DUAL-GPO__phi-2-dpo-renew1,DUAL-GPO__phi-2-dpo-renew1,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DUAL-GPO__phi-2-gpo-renew2-b0.001-0.5ultrafeedback-i1,DUAL-GPO__phi-2-gpo-renew2-b0.001-0.5ultrafeedback-i1,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DUAL-GPO__phi-2-gpo-renew2-b0.001-0.5ultrafeedback-lowLr-i1,DUAL-GPO__phi-2-gpo-renew2-b0.001-0.5ultrafeedback-lowLr-i1,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DUAL-GPO__phi-2-gpo-renew2-b0.001-extra-i1,DUAL-GPO__phi-2-gpo-renew2-b0.001-extra-i1,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,float16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DUAL-GPO__phi-2-gpo-renew2-b0.001-i0,DUAL-GPO__phi-2-gpo-renew2-b0.001-i0,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DUAL-GPO__phi-2-gpo-renew2-b0.001-log-i0,DUAL-GPO__phi-2-gpo-renew2-b0.001-log-i0,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DUAL-GPO__phi-2-gpo-renew2-b0.001-v4-i1,DUAL-GPO__phi-2-gpo-renew2-b0.001-v4-i1,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DUAL-GPO__phi-2-gpo-renew2-b0.001-vllm-i1,DUAL-GPO__phi-2-gpo-renew2-b0.001-vllm-i1,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DUAL-GPO__zephyr-7b-dpo-qlora-v1,DUAL-GPO__zephyr-7b-dpo-qlora-v1,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DUAL-GPO__zephyr-7b-gpo-update3-i0,DUAL-GPO__zephyr-7b-gpo-update3-i0,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DUAL-GPO__zephyr-7b-gpo-update4-i0,DUAL-GPO__zephyr-7b-gpo-update4-i0,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DUAL-GPO__zephyr-7b-gpo-v5-i1,DUAL-GPO__zephyr-7b-gpo-v5-i1,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DUAL-GPO__zephyr-7b-ipo-qlora-v0,DUAL-GPO__zephyr-7b-ipo-qlora-v0,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DUAL-GPO__zephyr-7b-lgpo-v1-i1,DUAL-GPO__zephyr-7b-lgpo-v1-i1,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Dampfinchen__Llama-3-8B-Ultra-Instruct-SaltSprinkle,Dampfinchen__Llama-3-8B-Ultra-Instruct-SaltSprinkle,🤝 base merges and moerges,Original,bfloat16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Dampish__Dante-2.8B,Dampish__Dante-2.8B,,Delta,float16,2,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Dampish__StellarX-4B-V0,Dampish__StellarX-4B-V0,🟢 pretrained,Original,float16,4,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Dampish__StellarX-4B-V0.2,Dampish__StellarX-4B-V0.2,🟢 pretrained,Original,float16,4,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DangFutures__BIG_DANG_BOT,DangFutures__BIG_DANG_BOT,🔶 fine-tuned on domain-specific datasets,Original,float16,46,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DanielSc4__RedPajama-INCITE-Chat-3B-v1-FT-LoRA-8bit-test1,DanielSc4__RedPajama-INCITE-Chat-3B-v1-FT-LoRA-8bit-test1,🔶 fine-tuned on domain-specific datasets,Adapter,8bit,3,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DanielSc4__RedPajama-INCITE-Chat-3B-v1-RL-LoRA-8bit-test1,DanielSc4__RedPajama-INCITE-Chat-3B-v1-RL-LoRA-8bit-test1,"💬 chat models (RLHF, DPO, IFT, ...)",Adapter,8bit,3,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Danielbrdz__Barcenas-10.7b,Danielbrdz__Barcenas-10.7b,🔶 fine-tuned on domain-specific datasets,Original,float16,10,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Danielbrdz__Barcenas-13b,Danielbrdz__Barcenas-13b,🔶 fine-tuned on domain-specific datasets,Original,float16,13,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Danielbrdz__Barcenas-3.8b,Danielbrdz__Barcenas-3.8b,🔶 fine-tuned on domain-specific datasets,Original,float16,3,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Danielbrdz__Barcenas-3b,Danielbrdz__Barcenas-3b,🔶 fine-tuned on domain-specific datasets,Original,float16,3,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Danielbrdz__Barcenas-7b,Danielbrdz__Barcenas-7b,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Danielbrdz__Barcenas-Llama3-8b-ORPO,Danielbrdz__Barcenas-Llama3-8b-ORPO,🔶 fine-tuned on domain-specific datasets,Original,float16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Danielbrdz__Barcenas-Orca-2-7b,Danielbrdz__Barcenas-Orca-2-7b,🔶 fine-tuned on domain-specific datasets,Original,float16,6,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Danielbrdz__Barcenas-Tiny-1.1b-DPO,Danielbrdz__Barcenas-Tiny-1.1b-DPO,🔶 fine-tuned on domain-specific datasets,Original,float16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Danielbrdz__CodeBarcenas-7b,Danielbrdz__CodeBarcenas-7b,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Dans-DiscountModels__Dans-07YahooAnswers-7b,Dans-DiscountModels__Dans-07YahooAnswers-7b,,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Dans-DiscountModels__Mistral-7b-FFT-Test3,Dans-DiscountModels__Mistral-7b-FFT-Test3,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Dans-DiscountModels__ShearedLlama-1.3b-FFT-Test1,Dans-DiscountModels__ShearedLlama-1.3b-FFT-Test1,🟢 pretrained,Original,bfloat16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Dans-DiscountModels__TinyLlama-1.1B-FFT-Test2,Dans-DiscountModels__TinyLlama-1.1B-FFT-Test2,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Dans-DiscountModels__TinyMistral-v2-Test1,Dans-DiscountModels__TinyMistral-v2-Test1,🟢 pretrained,Original,float16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Dans-DiscountModels__TinyMistral-v2.5-MiniPile-Guidelines-E1,Dans-DiscountModels__TinyMistral-v2.5-MiniPile-Guidelines-E1,🟢 pretrained,Original,float16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DatPySci__pythia-1b-dpo,DatPySci__pythia-1b-dpo,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DatPySci__pythia-1b-dpo-full,DatPySci__pythia-1b-dpo-full,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DatPySci__pythia-1b-kto-iter0,DatPySci__pythia-1b-kto-iter0,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DatPySci__pythia-1b-self-kto-iter0,DatPySci__pythia-1b-self-kto-iter0,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DatPySci__pythia-1b-sft-50k,DatPySci__pythia-1b-sft-50k,🔶 fine-tuned on domain-specific datasets,Original,float16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DatPySci__pythia-1b-sft-full,DatPySci__pythia-1b-sft-full,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DatPySci__pythia-1b-spin-iter1,DatPySci__pythia-1b-spin-iter1,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DaveGergern__13B-Psyfighter2-Erebus3-DareTies,DaveGergern__13B-Psyfighter2-Erebus3-DareTies,🤝 base merges and moerges,Original,float16,13,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Deathsquad10__TakeThree,Deathsquad10__TakeThree,🤝 base merges and moerges,Original,float16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Deathsquad10__TakeTwo,Deathsquad10__TakeTwo,"💬 chat models (RLHF, DPO, IFT, ...)",Original,float16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Deathsquad10__TinyLlama-1.1B-Remix-V.2,Deathsquad10__TinyLlama-1.1B-Remix-V.2,🔶 fine-tuned on domain-specific datasets,Original,float16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Deathsquad10__TinyLlama-Remix,Deathsquad10__TinyLlama-Remix,🔶 fine-tuned on domain-specific datasets,Original,float16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Deathsquad10__TinyLlama-repeat,Deathsquad10__TinyLlama-repeat,🔶 fine-tuned on domain-specific datasets,Original,float16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Deathsquad10__TinyMix,Deathsquad10__TinyMix,"💬 chat models (RLHF, DPO, IFT, ...)",Original,float16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Deci__DeciCoder-1b,Deci__DeciCoder-1b,🟢 pretrained,Original,float16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Deci__DeciLM-7B,Deci__DeciLM-7B,🟢 pretrained,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_Deci__DeciLM-7B-instruct,Deci__DeciLM-7B-instruct,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DeepKarkhanis__Mistral-Passthrough-8L-10B,DeepKarkhanis__Mistral-Passthrough-8L-10B,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DeepKarkhanis__NeuralPipe-7B-slerp,DeepKarkhanis__NeuralPipe-7B-slerp,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DeepMount00__Llama-3-8b-Ita,DeepMount00__Llama-3-8b-Ita,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_DeepMount00__Mistral-Ita-7b,DeepMount00__Mistral-Ita-7b,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
